# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 2.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
20            	8.659037e-02	1.424243e+00	1.053062e+01	5.351901e+00	5.178720e+00
20.001        	8.658753e-02	1.423870e+00	1.053282e+01	5.352998e+00	5.179823e+00
20.002        	8.658451e-02	1.424481e+00	1.053269e+01	5.352930e+00	5.179761e+00
20.003        	8.658136e-02	1.425380e+00	1.053362e+01	5.353394e+00	5.180231e+00
20.004        	8.657826e-02	1.426132e+00	1.053398e+01	5.353570e+00	5.180413e+00
20.005        	8.657543e-02	1.426438e+00	1.053299e+01	5.353072e+00	5.179921e+00
20.006        	8.657249e-02	1.426491e+00	1.053398e+01	5.353561e+00	5.180416e+00
20.007        	8.656969e-02	1.427218e+00	1.053499e+01	5.354064e+00	5.180925e+00
20.008        	8.656683e-02	1.426451e+00	1.053498e+01	5.354056e+00	5.180923e+00
20.009        	8.656423e-02	1.425864e+00	1.053616e+01	5.354642e+00	5.181514e+00
20.01         	8.656124e-02	1.425468e+00	1.053661e+01	5.354868e+00	5.181745e+00
20.011        	8.655877e-02	1.424806e+00	1.053676e+01	5.354939e+00	5.181822e+00
20.012        	8.655623e-02	1.425688e+00	1.053803e+01	5.355570e+00	5.182457e+00
20.013        	8.655363e-02	1.425352e+00	1.053697e+01	5.355038e+00	5.181931e+00
20.014        	8.655098e-02	1.425511e+00	1.053791e+01	5.355507e+00	5.182405e+00
20.015        	8.654858e-02	1.425634e+00	1.053886e+01	5.355977e+00	5.182880e+00
20.016        	8.654610e-02	1.426305e+00	1.053968e+01	5.356384e+00	5.183292e+00
20.017        	8.654333e-02	1.427014e+00	1.053914e+01	5.356114e+00	5.183028e+00
20.018        	8.654096e-02	1.428621e+00	1.054089e+01	5.356984e+00	5.183902e+00
20.019        	8.653846e-02	1.428142e+00	1.054004e+01	5.356557e+00	5.183480e+00
20.02         	8.653621e-02	1.427922e+00	1.053942e+01	5.356248e+00	5.183176e+00
20.021        	8.653424e-02	1.427671e+00	1.054003e+01	5.356551e+00	5.183482e+00
20.022        	8.653209e-02	1.427125e+00	1.054040e+01	5.356733e+00	5.183669e+00
20.023        	8.652975e-02	1.428008e+00	1.054063e+01	5.356843e+00	5.183783e+00
20.024        	8.652782e-02	1.428023e+00	1.054249e+01	5.357775e+00	5.184720e+00
20.025        	8.652607e-02	1.428136e+00	1.054274e+01	5.357896e+00	5.184843e+00
20.026        	8.652443e-02	1.428482e+00	1.054390e+01	5.358474e+00	5.185425e+00
20.027        	8.652265e-02	1.428982e+00	1.054395e+01	5.358500e+00	5.185455e+00
20.028        	8.652056e-02	1.430098e+00	1.054347e+01	5.358253e+00	5.185212e+00
20.029        	8.651878e-02	1.430735e+00	1.054472e+01	5.358881e+00	5.185843e+00
20.03         	8.651718e-02	1.430713e+00	1.054389e+01	5.358463e+00	5.185429e+00
20.031        	8.651559e-02	1.431675e+00	1.054542e+01	5.359224e+00	5.186193e+00
20.032        	8.651418e-02	1.430804e+00	1.054571e+01	5.359367e+00	5.186339e+00
20.033        	8.651249e-02	1.430943e+00	1.054587e+01	5.359450e+00	5.186425e+00
20.034        	8.651073e-02	1.432040e+00	1.054569e+01	5.359353e+00	5.186332e+00
20.035        	8.650933e-02	1.431524e+00	1.054527e+01	5.359145e+00	5.186126e+00
20.036        	8.650783e-02	1.431558e+00	1.054535e+01	5.359183e+00	5.186167e+00
20.037        	8.650668e-02	1.431581e+00	1.054708e+01	5.360046e+00	5.187033e+00
20.038        	8.650538e-02	1.431401e+00	1.054716e+01	5.360087e+00	5.187076e+00
20.039        	8.650424e-02	1.431547e+00	1.054829e+01	5.360651e+00	5.187642e+00
20.04         	8.650281e-02	1.432472e+00	1.054871e+01	5.360856e+00	5.187850e+00
20.041        	8.650154e-02	1.432443e+00	1.054894e+01	5.360973e+00	5.187970e+00
20.042        	8.650051e-02	1.432588e+00	1.054837e+01	5.360686e+00	5.187685e+00
20.043        	8.649959e-02	1.432580e+00	1.054939e+01	5.361194e+00	5.188194e+00
20.044        	8.649837e-02	1.432907e+00	1.054834e+01	5.360670e+00	5.187673e+00
20.045        	8.649751e-02	1.433971e+00	1.054956e+01	5.361279e+00	5.188284e+00
20.046        	8.649641e-02	1.433696e+00	1.054841e+01	5.360701e+00	5.187709e+00
20.047        	8.649549e-02	1.433130e+00	1.055026e+01	5.361625e+00	5.188634e+00
20.048        	8.649476e-02	1.433751e+00	1.055100e+01	5.361995e+00	5.189006e+00
20.049        	8.649392e-02	1.433069e+00	1.055113e+01	5.362057e+00	5.189069e+00
20.05         	8.649301e-02	1.433095e+00	1.055162e+01	5.362302e+00	5.189316e+00
20.051        	8.649239e-02	1.433559e+00	1.055206e+01	5.362524e+00	5.189539e+00
20.052        	8.649143e-02	1.433572e+00	1.055204e+01	5.362513e+00	5.189530e+00
20.053        	8.649062e-02	1.432783e+00	1.055197e+01	5.362473e+00	5.189492e+00
20.054        	8.648985e-02	1.433728e+00	1.055169e+01	5.362332e+00	5.189353e+00
20.055        	8.648903e-02	1.435285e+00	1.055232e+01	5.362648e+00	5.189670e+00
20.056        	8.648825e-02	1.435234e+00	1.055227e+01	5.362623e+00	5.189647e+00
20.057        	8.648733e-02	1.434921e+00	1.055203e+01	5.362502e+00	5.189528e+00
20.058        	8.648665e-02	1.435491e+00	1.055183e+01	5.362403e+00	5.189430e+00
20.059        	8.648612e-02	1.435415e+00	1.055488e+01	5.363929e+00	5.190956e+00
20.06         	8.648564e-02	1.436018e+00	1.055636e+01	5.364665e+00	5.191694e+00
20.061        	8.648483e-02	1.435585e+00	1.055590e+01	5.364436e+00	5.191466e+00
20.062        	8.648460e-02	1.436425e+00	1.055562e+01	5.364293e+00	5.191324e+00
20.063        	8.648404e-02	1.435881e+00	1.055694e+01	5.364952e+00	5.191984e+00
20.064        	8.648351e-02	1.435332e+00	1.055636e+01	5.364666e+00	5.191699e+00
20.065        	8.648262e-02	1.435931e+00	1.055562e+01	5.364290e+00	5.191325e+00
20.066        	8.648188e-02	1.435903e+00	1.055722e+01	5.365091e+00	5.192127e+00
20.067        	8.648116e-02	1.435057e+00	1.055789e+01	5.365424e+00	5.192462e+00
20.068        	8.648042e-02	1.436382e+00	1.055804e+01	5.365500e+00	5.192540e+00
20.069        	8.648012e-02	1.437192e+00	1.055960e+01	5.366282e+00	5.193322e+00
20.07         	8.647985e-02	1.437776e+00	1.055860e+01	5.365780e+00	5.192820e+00
20.071        	8.647962e-02	1.438115e+00	1.055867e+01	5.365815e+00	5.192856e+00
20.072        	8.647904e-02	1.438998e+00	1.055929e+01	5.366122e+00	5.193164e+00
20.073        	8.647860e-02	1.438962e+00	1.055926e+01	5.366109e+00	5.193152e+00
20.074        	8.647815e-02	1.438728e+00	1.056013e+01	5.366544e+00	5.193587e+00
20.075        	8.647781e-02	1.438121e+00	1.056103e+01	5.366993e+00	5.194037e+00
20.076        	8.647728e-02	1.437584e+00	1.056179e+01	5.367375e+00	5.194420e+00
20.077        	8.647711e-02	1.438804e+00	1.056235e+01	5.367650e+00	5.194696e+00
20.078        	8.647703e-02	1.439323e+00	1.056261e+01	5.367784e+00	5.194830e+00
20.079        	8.647664e-02	1.440059e+00	1.056115e+01	5.367054e+00	5.194101e+00
20.08         	8.647619e-02	1.439227e+00	1.056161e+01	5.367279e+00	5.194327e+00
20.081        	8.647601e-02	1.440295e+00	1.056173e+01	5.367343e+00	5.194391e+00
20.082        	8.647545e-02	1.439914e+00	1.056298e+01	5.367963e+00	5.195012e+00
20.083        	8.647546e-02	1.439908e+00	1.056309e+01	5.368019e+00	5.195068e+00
20.084        	8.647551e-02	1.439537e+00	1.056490e+01	5.368926e+00	5.195975e+00
20.085        	8.647517e-02	1.439942e+00	1.056422e+01	5.368587e+00	5.195637e+00
20.086        	8.647479e-02	1.439612e+00	1.056422e+01	5.368583e+00	5.195633e+00
20.087        	8.647436e-02	1.440400e+00	1.056416e+01	5.368553e+00	5.195604e+00
20.088        	8.647443e-02	1.440289e+00	1.056535e+01	5.369147e+00	5.196198e+00
20.089        	8.647453e-02	1.439624e+00	1.056443e+01	5.368688e+00	5.195739e+00
