# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 2.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	4.586609e-14	1.618709e+01	0.000000e+00	4.586609e-14	-4.586609e-14
0.008         	-3.343737e-05	3.213309e+02	-1.065908e-03	-5.663912e-04	-4.995165e-04
0.016         	-2.034988e-05	2.984034e+00	4.285082e-04	1.939042e-04	2.346040e-04
0.024         	3.194279e-05	7.061214e+00	1.978924e-04	1.308890e-04	6.700340e-05
0.032         	8.488674e-05	5.500690e+00	2.549452e-04	2.123593e-04	4.258584e-05
0.04          	8.757369e-05	4.793532e+00	2.069376e-04	1.910425e-04	1.589512e-05
0.048         	7.385703e-05	4.305785e+00	1.518498e-04	1.497819e-04	2.067873e-06
0.056         	5.854340e-05	3.943939e+00	1.242619e-04	1.206743e-04	3.587540e-06
0.064         	4.784779e-05	3.673769e+00	1.000212e-04	9.785841e-05	2.162837e-06
0.072         	3.773065e-05	3.458591e+00	8.295688e-05	7.920909e-05	3.747796e-06
0.08          	2.795945e-05	3.285651e+00	6.893753e-05	6.242821e-05	6.509320e-06
0.088         	3.087510e-06	3.137576e+00	1.380705e-04	7.212276e-05	6.594774e-05
0.096         	-1.105763e-05	3.017340e+00	1.039089e-04	4.089685e-05	6.301210e-05
0.104         	-2.630803e-05	2.912786e+00	7.811250e-05	1.274822e-05	6.536428e-05
0.112         	-4.423182e-05	2.821970e+00	5.488168e-05	-1.679098e-05	7.167266e-05
0.12          	-5.104775e-05	2.740876e+00	7.682522e-05	-1.263514e-05	8.946036e-05
0.128         	-6.083261e-05	2.668248e+00	3.112330e-05	-4.527096e-05	7.639426e-05
0.136         	-6.725082e-05	2.602505e+00	2.163400e-05	-5.643382e-05	7.806782e-05
0.144         	-6.791849e-05	2.543610e+00	1.687728e-05	-5.947985e-05	7.635713e-05
0.152         	-6.987239e-05	2.489201e+00	8.311935e-06	-6.571642e-05	7.402836e-05
0.16          	-7.291008e-05	2.440795e+00	5.670758e-06	-7.007470e-05	7.574546e-05
0.168         	-7.341366e-05	2.395665e+00	-6.188962e-07	-7.372310e-05	7.310421e-05
0.176         	-8.031582e-05	2.354232e+00	-1.272777e-05	-8.667970e-05	7.395193e-05
0.184         	-7.161746e-05	2.315641e+00	3.851532e-06	-6.969169e-05	7.354322e-05
0.192         	-7.470632e-05	2.280176e+00	-1.955087e-06	-7.568387e-05	7.372878e-05
0.2           	-7.600327e-05	2.247214e+00	-5.099214e-06	-7.855288e-05	7.345366e-05
0.208         	-6.618443e-05	2.215654e+00	3.738108e-05	-4.749388e-05	8.487497e-05
0.216         	-6.261418e-05	2.187556e+00	3.771705e-05	-4.375566e-05	8.147271e-05
0.224         	-6.299242e-05	2.161025e+00	3.487302e-05	-4.555591e-05	8.042893e-05
0.232         	-6.103833e-05	2.135464e+00	2.516854e-05	-4.845406e-05	7.362260e-05
0.24          	-6.210283e-05	2.112365e+00	3.296719e-05	-4.561924e-05	7.858643e-05
0.248         	-6.260478e-05	2.090585e+00	3.165743e-05	-4.677606e-05	7.843349e-05
0.256         	-6.251124e-05	2.069673e+00	3.177231e-05	-4.662509e-05	7.839739e-05
0.264         	-6.293052e-05	2.050214e+00	3.452982e-05	-4.566561e-05	8.019543e-05
0.272         	-6.293347e-05	2.030864e+00	3.180959e-05	-4.702867e-05	7.883826e-05
0.28          	-6.366203e-05	2.012980e+00	3.160136e-05	-4.786135e-05	7.946271e-05
0.288         	-6.375462e-05	1.995750e+00	3.176067e-05	-4.787429e-05	7.963496e-05
0.296         	-6.397087e-05	1.979510e+00	3.125770e-05	-4.834202e-05	7.959972e-05
0.304         	-6.426272e-05	1.964255e+00	3.231481e-05	-4.810531e-05	8.042012e-05
0.312         	-6.484164e-05	1.949518e+00	3.282223e-05	-4.843053e-05	8.125276e-05
0.32          	-6.463267e-05	1.935257e+00	3.282315e-05	-4.822110e-05	8.104425e-05
0.328         	-6.367782e-05	1.921779e+00	3.464483e-05	-4.635541e-05	8.100024e-05
0.336         	-6.383005e-05	1.908758e+00	3.551871e-05	-4.607069e-05	8.158940e-05
0.344         	-6.371921e-05	1.896264e+00	3.626620e-05	-4.558611e-05	8.185231e-05
0.352         	-6.382087e-05	1.884423e+00	3.722044e-05	-4.521065e-05	8.243109e-05
0.36          	-6.407497e-05	1.872829e+00	3.786235e-05	-4.514379e-05	8.300614e-05
0.368         	-6.439050e-05	1.861792e+00	3.762360e-05	-4.557869e-05	8.320230e-05
0.376         	-6.444848e-05	1.851160e+00	3.877010e-05	-4.506343e-05	8.383353e-05
0.384         	-6.444020e-05	1.840783e+00	3.898316e-05	-4.494862e-05	8.393178e-05
0.392         	-6.451581e-05	1.830676e+00	3.996904e-05	-4.453129e-05	8.450033e-05
0.4           	-6.441889e-05	1.820994e+00	4.131139e-05	-4.376319e-05	8.507458e-05
0.408         	-6.411739e-05	1.811636e+00	4.234768e-05	-4.294355e-05	8.529123e-05
0.416         	-6.335144e-05	1.802531e+00	4.434223e-05	-4.118033e-05	8.552256e-05
0.424         	-6.279058e-05	1.793869e+00	4.321052e-05	-4.118532e-05	8.439584e-05
0.432         	-6.310076e-05	1.785366e+00	4.610990e-05	-4.004581e-05	8.615571e-05
0.44          	-6.296815e-05	1.777117e+00	4.593723e-05	-3.999954e-05	8.593677e-05
0.448         	-6.297410e-05	1.768935e+00	4.848458e-05	-3.873180e-05	8.721639e-05
